0,violent crime,property crime,population,density,STARBUCKS_count,STARBUCKS_mean
4.5164,50.9,83.5,56322,46521.46,11,293.8181818181818
3.9019999999999997,47.2,82.1,74633,31343.73,2,352.0
2.9627999999999997,36.5,78.8,55492,17435.71,3,206.0
3.1548000000000003,39.4,79.2,73104,22097.56,1,58.0
4.2348,48.8,82.7,33115,29461.94,7,119.14285714285714
3.728,40.3,80.4,38738,27861.23,4,178.5
4.576400000000001,69.4,87.7,28991,44719.24,3,350.0
2.9224,40.8,80.1,42473,14397.7,2,276.5
3.4799999999999995,41.0,80.4,38939,22073.36,3,320.3333333333333
3.992,37.2,78.8,30574,22377.49,3,224.0
4.2783999999999995,65.9,87.6,23016,17140.46,8,290.5
4.2824,43.9,81.1,17368,7126.09,8,167.375
3.064,33.8,67.7,42958,16629.92,1,66.0
4.400399999999999,40.8,80.6,22903,22681.01,5,222.8
3.718,36.7,75.2,27897,13070.88,3,164.33333333333334
4.502800000000001,52.6,83.7,26827,40117.97,8,347.5
3.0347999999999997,41.1,80.1,26291,6472.81,1,124.0
3.0631999999999997,59.1,84.8,33170,6630.97,1,342.0
4.916399999999999,33.7,70.0,2058,5902.54,20,149.75
3.0256,27.6,53.9,20624,10969.8,3,219.66666666666666
4.9356,56.3,84.9,13716,53134.47,16,234.3125
4.2996,49.2,82.8,3335,7017.26,7,215.0
